MaleCodedWords-German,Is active,Wordtype,Forms,Alternatives-German Input fields job tite | Role | Requirements,Alternatives-German input fields Company | Company Culture | Goodies,Subcategory: competitive | Hard-hearted | Rough | Corporate
leiste,1,v,(t|st|n|nd),Meilensteine erreichen wollen | enthusiastisch bei der Umsetzung,Meilensteine erreichen wollen | enthusiastisch bei der Umsetzung,competitive
Leistungsbereitschaft,1,s,,Meilensteine erreichen wollen | enthusiastisch bei der Umsetzung,Meilensteine erreichen wollen | enthusiastisch bei der Umsetzung,competitive
leistungsbereit,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,Meilensteine erreichen wollen | enthusiastisch bei der Umsetzung,Meilensteine erreichen wollen | enthusiastisch bei der Umsetzung,competitive
leistungsorientiert,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,fleissig | tüchtig | Meilensteine erreichen wollen | enthusiastisch bei der Umsetzung,fleissig | tüchtig | Meilensteine erreichen wollen | enthusiastisch bei der Umsetzung,competitive
leistungsabhängig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,das Engagement beeinflusst das Gehalt,,competitive
Leistungsträger,1,s,(in|n|innen|s)?,Gestalter | Schlüsselfigur/person | Schnittstelle,Gestalter | Schlüsselfigur/person | Schnittstelle,competitive
Leistungsausweis,1,s,(e)?,Erfahrung mitbringen,,competitive
leit,1,v,(et|est|en|end),unterstützen | coachen | Vision kommunizieren | mitnehmen | lenken,unterstützen | coachen | Vision kommunizieren | mitnehmen | lenken,hard-hearted
Logik,1,s,,schlüssig | gemäss Prozess | gemäss Schema | ableitend,schlüssig | gemäss Prozess | gemäss Schema | ableitend,corporate
logisch,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,konsequent | schlüssig | nachvollziehbar | schematisch,konsequent | schlüssig | nachvollziehbar | schematisch,corporate
Macht,1,s,,,,competitive
machthungrig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,competitive
Meister,1,s,(in|n|innen|s)?,fachkundig | kompetent | Fachgrösse,fachkundig | kompetent | Fachgrösse,competitive
meisterhaft,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,fachkundig | kompetent | mit Erfahrung,fachkundig | kompetent | mit Erfahrung,competitive
militant,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,,,competitive
Mittler,1,s,,Person | die vermittelt,,
mutig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Spass an Neuem | offen für neue Entdeckungen | ausprobieren wollen | experimentierfreudig,Spass an Neuem | offen für neue Entdeckungen | ausprobieren wollen | experimentierfreudig,rough
Mut,1,s,(s|es)?,Spass an Neuem | offen für neue Entdeckungen | ausprobieren wollen | experimentierfreudig,Spass an Neuem | offen für neue Entdeckungen | ausprobieren wollen | experimentierfreudig,rough
Mutprobe,1,s,n?,-,,rough
offensiv,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,rough
paranoid,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,hard-hearted
performant,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,fleissig | tüchtig | Meilensteine erreichen wollen | enthusiastisch bei der Umsetzung,fleissig | tüchtig | Meilensteine erreichen wollen | enthusiastisch bei der Umsetzung,competitive
Performer,1,s,(n|s)?,auf die nächsten Schritte fokussieren | engagiert in seinen Aufgaben | unternehmerisch denken | sein,auf die nächsten Schritte fokussieren | engagiert in seinen Aufgaben | unternehmerisch denken | sein,competitive
Pionier,1,s,(in|e|innen)?,Verantwortung übernehmen | mit gutem Beispiel voraus | erfinderisch sein | innovativ wirken | inspirieren | die Vision vermitteln,Verantwortung übernehmen | mit gutem Beispiel voraus | erfinderisch sein | innovativ wirken | inspirieren | die Vision vermitteln,competitive
prahl,1,v,(e|st|t|en),,,hard-hearted
Prinzip,1,s,(s|ien)?,Ethik | mit Methode | mit Grundsätzen | Richtlinie,Ethik | mit Methode | mit Grundsätzen | Richtlinie,rough
proaktiv,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Initiative ergreifen | mit Energie unternehmen | unternehmerisch,Initiative ergreifen | mit Energie unternehmen | unternehmerisch,rough
pro-aktiv,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Initiative ergreifen | mit Energie unternehmen | unternehmerisch,Initiative ergreifen | mit Energie unternehmen | unternehmerisch,rough
Problem,1,s,(e|en)?,,,competitive
problematisch,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,competitive
resolut,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,tatkräftig | unbeirrt | zupackend,tatkräftig | unbeirrt | zupackend,hard-hearted
resultatorientiert,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,Meilensteine erreichen wollen | strebsam | fleissig | mit Team etwas verfolgen | erreichen | fokussiert,Meilensteine erreichen wollen | strebsam | fleissig | mit Team etwas verfolgen | erreichen | fokussiert,competitive
risikofreudig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Spass an Neuem | offen für neue Entdeckungen | ausprobieren wollen | experimentierfreudig,Spass an Neuem | offen für neue Entdeckungen | ausprobieren wollen | experimentierfreudig,rough
Risikoträger,1,s,(in|n|innen|s)?,Optionen abwägend | offen für Neues | ausprobieren wollen | Experimente durchführen,offen für Neues | ausprobieren wollen | Experimente durchführen,rough
Risik,1,s,(|o|os|en)?,verantwortungsbewusst | abwägend | offen für Neues | ausprobieren wollen,verantwortungsbewusst | abwägend | offen für Neues | ausprobieren wollen,rough
Rival,1,s,(e|en|in|innen)?,Kompetenz einsetzen | im Team etwas verfolgen | erreichen,Kompetenz einsetzen | im Team etwas verfolgen | erreichen,competitive
robust,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,stabil | mit Erfahrung | fachkundig,stabil | mit Erfahrung | fachkundig,rough
rücksichtslos,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,,,hard-hearted
schlagkräftig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,etwas nachvollziehbar aufzeigen,,rough
selber,1,a,,auf Aufgaben fokussieren | Verantwortung tragen,auf Aufgaben fokussieren | Verantwortung tragen,competitive
selbst,1,a,,auf Aufgaben fokussieren | Verantwortung tragen,auf Aufgaben fokussieren | Verantwortung tragen,competitive
selbständig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Kompetenz einsetzen | auf Aufgaben fokussieren | Verantwortung tragen,Kompetenz einsetzen | auf Aufgaben fokussieren | Verantwortung tragen,competitive
Selbständigkeit,1,s,,Kompetenz einsetzen | auf Aufgaben fokussieren | Verantwortung tragen,Kompetenz einsetzen | auf Aufgaben fokussieren | Verantwortung tragen,competitive
Selbstbehauptung,1,s,,erwirken | umsetzen | vollbringen,erwirken | umsetzen | vollbringen,competitive
selbstbewusst,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,in eigene Kompetenz vertrauen | Meinung/Arbeit vertreten,in eigene Kompetenz vertrauen | Meinung/Arbeit vertreten,competitive
Selbstbewusstsein,1,s,s?,Vertrauen in eigene Kompetenz | Vertreten der Meinung/Arbeit,Vertrauen in eigene Kompetenz | Vertreten der Meinung/Arbeit,competitive
selbstsicher,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,in eigene Kompetenz vertrauen | Meinung/Arbeit vertreten,in eigene Kompetenz vertrauen | Meinung/Arbeit vertreten,competitive
selbstständig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,seine Kompetenz einsetzen | auf seine Aufgaben fokussieren | Verantwortung tragen,seine Kompetenz einsetzen | auf seine Aufgaben fokussieren | Verantwortung tragen,competitive
Selbstständigkeit,1,s,,seine Kompetenz einsetzen | auf seine Aufgaben fokussieren | Verantwortung tragen,seine Kompetenz einsetzen | auf seine Aufgaben fokussieren | Verantwortung tragen,competitive
Selbstvertrauen,1,s,s?,auf eigene Kompetenz zählen | Meinung/Arbeit vertreten,auf eigene Kompetenz zählen | Meinung/Arbeit vertreten,competitive
sicherstell,1,v,(e|st|t|en),sich um etwas kümmern,sich um etwas kümmern,rough
Sicherstellung,1,s,,,,rough
sicher,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,in eigene Kompetenz vertrauen | Meinung/Arbeit vertreten,in eigene Kompetenz vertrauen | Meinung/Arbeit vertreten,competitive
siegessicher,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,unbeirrt | enthusiastisch | fokussiert,unbeirrt | enthusiastisch | fokussiert,competitive
sportlerisch,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,competitive
sportlich,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,flexibel | pragmatisch | unkompliziert | beweglich,flexibel | pragmatisch | unkompliziert | beweglich,competitive
stark,1,a,(e|er|en|em|es)?,stabil | mit Erfahrung | fachkundig ,stabil | mit Erfahrung | fachkundig ,rough
stärk,1,a,(er|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem),stabil | mit Erfahrung | fachkundig ,,rough
Stärke,1,s,,Stabilität | mit Erfahrung | fachkundig,Stabilität | mit Erfahrung | fachkundig,rough
,,,(?stark|?starke|?starken),,,
,,,(?stärke|?stärken),,,
streit,1,a,(e|st|t|en),Reibungen bewältigen können | argumentieren können,Reibungen bewältigen können | argumentieren können,hard-hearted
streitlustig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Reibungen bewältigen können | argumentieren können,Reibungen bewältigen können | argumentieren können,hard-hearted
streitsüchtig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,hard-hearted
stur,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,hard-hearted
tapfer,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,zupackend | diszipliniert | Spass an Neuem | offen für neue Entdeckungen,zupackend | diszipliniert | Spass an Neuem | offen für neue Entdeckungen,competitive
treibend,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,competitive
treib,1,v,(e|st|t|en),,,competitive
Treiber,1,s,(in)?,initiativ | gerne die Initiative ergreifen,initiativ | gerne die Initiative ergreifen,rough
überlegen,1,a,,,,competitive
überzeug,1,v,(e|st|t|en|end),mit Kompetenz vertreten | Meinung/Arbeit vertreten,mit Kompetenz vertreten | Meinung/Arbeit vertreten,competitive
überzeugt,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,in eigene Kompetenz vertrauen | Meinung/Arbeit vertreten,in eigene Kompetenz vertrauen | Meinung/Arbeit vertreten,competitive
Überzeugung,1,s,,in eigene Kompetenz vertrauen | Meinung/Arbeit vertreten | insistieren,in eigene Kompetenz vertrauen | Meinung/Arbeit vertreten | insistieren,competitive
umsetzungsstark,1,a,die Arbeiten zum Abschluss bringen | vollbringen | umsetzungsfreudig,die Arbeiten zum Abschluss bringen | vollbringen | umsetzungsfreudig,hard-hearted,
unabhängig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,auf seine Aufgaben fokussieren | Verantwortung tragen,auf seine Aufgaben fokussieren | Verantwortung tragen,competitive
Unabhängigkeit,1,s,,auf seine Aufgaben fokussieren | Verantwortung tragen,auf seine Aufgaben fokussieren | Verantwortung tragen,competitive
unbekümmert,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,,,rough
unbeugsam,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,hard-hearted
unerschrocken,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Spass an Neuem | offen für neue Entdeckungen | ausprobieren wollen | experimentierfreudig,Spass an Neuem | offen für neue Entdeckungen | ausprobieren wollen | experimentierfreudig,competitive
unnachgiebig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,hard-hearted
unverschämt,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,,,competitive
Urteil,1,s,s?,,,hard-hearted
Vaterland,1,s,s?,,Herkunftsland | Ursprungsland | Heimat,rough
verfecht,1,v,(e|st|t|en),für etwas einstehen | etwas verteidigen,für etwas einstehen | etwas verteidigen,rough
vorantreib,1,v,(e|st|t|en),sich engagieren | sich einsetzen,sich engagieren | sich einsetzen,competitive
waghalsig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,rough
wag,1,a,(e|st|t|en),sich erlaubt | offen für Experimente | neue Sachen ausprobieren,sich erlaubt | offen für Experimente | neue Sachen ausprobieren,rough
wehr,1,a,(e|st|t|en),sich einsetzen für | für etwas einstehen | verteidigen,sich einsetzen für | für etwas einstehen | verteidigen,hard-hearted
Wettbewerb,1,s,s?,Kompetenz einsetzen | im Team etwas verfolgen | erreichen,Kompetenz einsetzen | im Team etwas verfolgen | erreichen,competitive
wettbewerbsfähig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,competitive
wetteifer,1,a,(e|st|t|en),Kompetenz einsetzen | um weiterzukommen; im Team etwas verfolgen | erreichen,Kompetenz einsetzen | um weiterzukommen; im Team etwas verfolgen | erreichen,competitive
Wettkampf,1,s,(es|s)?,,,competitive
Wettkämpfe,1,s,,,,competitive
zäh,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,,,hard-hearted
Zähigkeit,1,s,,,,hard-hearted
zielorientiert,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,Meilensteine erreichen wollen | strebsam | fleissig | mit Team etwas verfolgen | erreichen | fokussiert,Meilensteine erreichen wollen | strebsam | fleissig | mit Team etwas verfolgen | erreichen | fokussiert,competitive
zielstrebig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Meilensteine erreichen wollen | strebsam | fleissig | mit Team etwas verfolgen | erreichen | fokussiert,Meilensteine erreichen wollen | strebsam | fleissig | mit Team etwas verfolgen | erreichen | fokussiert,competitive
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Male Coded Sentences - German,,,,,,
 A-Typ  ,,,,,,
 fechtest aus  ,,,,,,
 feindlich gesinnt  ,,,,,,
 forderst heraus  ,,,,,,
 geltend machen  ,,,,,,
 gegenseitig förderlich  ,,,,,,
 gibst an  ,,,,,,
 Nummer eins  ,,,,,,
 setzt dich durch  ,,,,,,
 sich Geltung verschaffen  ,,,,,,
 verschafft sich Geltung  ,,,,,,
 Sieger-Typ  ,,,,,,
 Typ A  ,,,,,,
 Winner-Typ  ,,,,,,
