MaleCodedWords,Is active,Wordtype,Forms,Alternatives-German Input fields job tite | Role | Requirements,Alternatives-German input fields Company | Company Culture | Goodies,Subcategory: competitive | Hard-hearted | Rough | Corporate,Alternatives_split
Meister,1.0,s,(in|n|innen|s)?,fachkundig | kompetent | Fachgrösse,fachkundig | kompetent | Fachgrösse,competitive,"['fachkundig', 'kompetent', 'Fachgrösse']"
meisterhaft,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,fachkundig | kompetent | mit Erfahrung,fachkundig | kompetent | mit Erfahrung,competitive,"['fachkundig', 'kompetent', 'mit Erfahrung']"
mutig,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Spass an Neuem | offen für neue Entdeckungen | ausprobieren wollen | experimentierfreudig,Spass an Neuem | offen für neue Entdeckungen | ausprobieren wollen | experimentierfreudig,rough,"['Spass an Neuem', 'offen für neue Entdeckungen', 'ausprobieren wollen', 'experimentierfreudig']"
Mut,1.0,s,(s|es)?,Spass an Neuem | offen für neue Entdeckungen | ausprobieren wollen | experimentierfreudig,Spass an Neuem | offen für neue Entdeckungen | ausprobieren wollen | experimentierfreudig,rough,"['Spass an Neuem', 'offen für neue Entdeckungen', 'ausprobieren wollen', 'experimentierfreudig']"
performant,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,fleissig | tüchtig | Meilensteine erreichen wollen | enthusiastisch bei der Umsetzung,fleissig | tüchtig | Meilensteine erreichen wollen | enthusiastisch bei der Umsetzung,competitive,"['fleissig', 'tüchtig', 'Meilensteine erreichen wollen', 'enthusiastisch bei der Umsetzung']"
Performer,1.0,s,(n|s)?,auf die nächsten Schritte fokussieren | engagiert in seinen Aufgaben | unternehmerisch denken | sein,auf die nächsten Schritte fokussieren | engagiert in seinen Aufgaben | unternehmerisch denken | sein,competitive,"['auf die nächsten Schritte fokussieren', 'engagiert in seinen Aufgaben', 'unternehmerisch denken', 'sein']"
Pionier,1.0,s,(in|e|innen)?,Verantwortung übernehmen | mit gutem Beispiel voraus | erfinderisch sein | innovativ wirken | inspirieren | die Vision vermitteln,Verantwortung übernehmen | mit gutem Beispiel voraus | erfinderisch sein | innovativ wirken | inspirieren | die Vision vermitteln,competitive,"['Verantwortung übernehmen', 'mit gutem Beispiel voraus', 'erfinderisch sein', 'innovativ wirken', 'inspirieren', 'die Vision vermitteln']"
Prinzip,1.0,s,(s|ien)?,Ethik | mit Methode | mit Grundsätzen | Richtlinie,Ethik | mit Methode | mit Grundsätzen | Richtlinie,rough,"['Ethik', 'mit Methode', 'mit Grundsätzen', 'Richtlinie']"
proaktiv,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Initiative ergreifen | mit Energie unternehmen | unternehmerisch,Initiative ergreifen | mit Energie unternehmen | unternehmerisch,rough,"['Initiative ergreifen', 'mit Energie unternehmen', 'unternehmerisch']"
pro-aktiv,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Initiative ergreifen | mit Energie unternehmen | unternehmerisch,Initiative ergreifen | mit Energie unternehmen | unternehmerisch,rough,"['Initiative ergreifen', 'mit Energie unternehmen', 'unternehmerisch']"
resolut,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,tatkräftig | unbeirrt | zupackend,tatkräftig | unbeirrt | zupackend,hard-hearted,"['tatkräftig', 'unbeirrt', 'zupackend']"
resultatorientiert,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,Meilensteine erreichen wollen | strebsam | fleissig | mit Team etwas verfolgen | erreichen | fokussiert,Meilensteine erreichen wollen | strebsam | fleissig | mit Team etwas verfolgen | erreichen | fokussiert,competitive,"['Meilensteine erreichen wollen', 'strebsam', 'fleissig', 'mit Team etwas verfolgen', 'erreichen', 'fokussiert']"
risikofreudig,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Spass an Neuem | offen für neue Entdeckungen | ausprobieren wollen | experimentierfreudig,Spass an Neuem | offen für neue Entdeckungen | ausprobieren wollen | experimentierfreudig,rough,"['Spass an Neuem', 'offen für neue Entdeckungen', 'ausprobieren wollen', 'experimentierfreudig']"
Risikoträger,1.0,s,(in|n|innen|s)?,Optionen abwägend | offen für Neues | ausprobieren wollen | Experimente durchführen,offen für Neues | ausprobieren wollen | Experimente durchführen,rough,"['Optionen abwägend', 'offen für Neues', 'ausprobieren wollen', 'Experimente durchführen']"
Risik,1.0,s,(|o|os|en)?,verantwortungsbewusst | abwägend | offen für Neues | ausprobieren wollen,verantwortungsbewusst | abwägend | offen für Neues | ausprobieren wollen,rough,"['verantwortungsbewusst', 'abwägend', 'offen für Neues', 'ausprobieren wollen']"
Rival,1.0,s,(e|en|in|innen)?,Kompetenz einsetzen | im Team etwas verfolgen | erreichen,Kompetenz einsetzen | im Team etwas verfolgen | erreichen,competitive,"['Kompetenz einsetzen', 'im Team etwas verfolgen', 'erreichen']"
robust,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,stabil | mit Erfahrung | fachkundig,stabil | mit Erfahrung | fachkundig,rough,"['stabil', 'mit Erfahrung', 'fachkundig']"
selbständig,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Kompetenz einsetzen | auf Aufgaben fokussieren | Verantwortung tragen,Kompetenz einsetzen | auf Aufgaben fokussieren | Verantwortung tragen,competitive,"['Kompetenz einsetzen', 'auf Aufgaben fokussieren', 'Verantwortung tragen']"
selbstbewusst,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,in eigene Kompetenz vertrauen | Meinung/Arbeit vertreten,in eigene Kompetenz vertrauen | Meinung/Arbeit vertreten,competitive,"['in eigene Kompetenz vertrauen', 'Meinung/Arbeit vertreten']"
Selbstbewusstsein,1.0,s,s?,Vertrauen in eigene Kompetenz | Vertreten der Meinung/Arbeit,Vertrauen in eigene Kompetenz | Vertreten der Meinung/Arbeit,competitive,"['Vertrauen in eigene Kompetenz', 'Vertreten der Meinung/Arbeit']"
selbstsicher,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,in eigene Kompetenz vertrauen | Meinung/Arbeit vertreten,in eigene Kompetenz vertrauen | Meinung/Arbeit vertreten,competitive,"['in eigene Kompetenz vertrauen', 'Meinung/Arbeit vertreten']"
selbstständig,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,seine Kompetenz einsetzen | auf seine Aufgaben fokussieren | Verantwortung tragen,seine Kompetenz einsetzen | auf seine Aufgaben fokussieren | Verantwortung tragen,competitive,"['seine Kompetenz einsetzen', 'auf seine Aufgaben fokussieren', 'Verantwortung tragen']"
Selbstvertrauen,1.0,s,s?,auf eigene Kompetenz zählen | Meinung/Arbeit vertreten,auf eigene Kompetenz zählen | Meinung/Arbeit vertreten,competitive,"['auf eigene Kompetenz zählen', 'Meinung/Arbeit vertreten']"
sicherstell,1.0,v,(e|st|t|en),sich um etwas kümmern,sich um etwas kümmern,rough,['sich um etwas kümmern']
sicher,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,in eigene Kompetenz vertrauen | Meinung/Arbeit vertreten,in eigene Kompetenz vertrauen | Meinung/Arbeit vertreten,competitive,"['in eigene Kompetenz vertrauen', 'Meinung/Arbeit vertreten']"
siegessicher,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,unbeirrt | enthusiastisch | fokussiert,unbeirrt | enthusiastisch | fokussiert,competitive,"['unbeirrt', 'enthusiastisch', 'fokussiert']"
sportlich,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,flexibel | pragmatisch | unkompliziert | beweglich,flexibel | pragmatisch | unkompliziert | beweglich,competitive,"['flexibel', 'pragmatisch', 'unkompliziert', 'beweglich']"
stark,1.0,a,(e|er|en|em|es)?,stabil | mit Erfahrung | fachkundig ,stabil | mit Erfahrung | fachkundig ,rough,"['stabil', 'mit Erfahrung', 'fachkundig ']"
streit,1.0,a,(e|st|t|en),Reibungen bewältigen können | argumentieren können,Reibungen bewältigen können | argumentieren können,hard-hearted,"['Reibungen bewältigen können', 'argumentieren können']"
streitlustig,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Reibungen bewältigen können | argumentieren können,Reibungen bewältigen können | argumentieren können,hard-hearted,"['Reibungen bewältigen können', 'argumentieren können']"
tapfer,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,zupackend | diszipliniert | Spass an Neuem | offen für neue Entdeckungen,zupackend | diszipliniert | Spass an Neuem | offen für neue Entdeckungen,competitive,"['zupackend', 'diszipliniert', 'Spass an Neuem', 'offen für neue Entdeckungen']"
Treiber,1.0,s,(in)?,initiativ | gerne die Initiative ergreifen,initiativ | gerne die Initiative ergreifen,rough,"['initiativ', 'gerne die Initiative ergreifen']"
überzeug,1.0,v,(e|st|t|en|end),mit Kompetenz vertreten | Meinung/Arbeit vertreten,mit Kompetenz vertreten | Meinung/Arbeit vertreten,competitive,"['mit Kompetenz vertreten', 'Meinung/Arbeit vertreten']"
überzeugt,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,in eigene Kompetenz vertrauen | Meinung/Arbeit vertreten,in eigene Kompetenz vertrauen | Meinung/Arbeit vertreten,competitive,"['in eigene Kompetenz vertrauen', 'Meinung/Arbeit vertreten']"
unabhängig,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,auf seine Aufgaben fokussieren | Verantwortung tragen,auf seine Aufgaben fokussieren | Verantwortung tragen,competitive,"['auf seine Aufgaben fokussieren', 'Verantwortung tragen']"
unerschrocken,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Spass an Neuem | offen für neue Entdeckungen | ausprobieren wollen | experimentierfreudig,Spass an Neuem | offen für neue Entdeckungen | ausprobieren wollen | experimentierfreudig,competitive,"['Spass an Neuem', 'offen für neue Entdeckungen', 'ausprobieren wollen', 'experimentierfreudig']"
verfecht,1.0,v,(e|st|t|en),für etwas einstehen | etwas verteidigen,für etwas einstehen | etwas verteidigen,rough,"['für etwas einstehen', 'etwas verteidigen']"
vorantreib,1.0,v,(e|st|t|en),sich engagieren | sich einsetzen,sich engagieren | sich einsetzen,competitive,"['sich engagieren', 'sich einsetzen']"
wag,1.0,a,(e|st|t|en),sich erlaubt | offen für Experimente | neue Sachen ausprobieren,sich erlaubt | offen für Experimente | neue Sachen ausprobieren,rough,"['sich erlaubt', 'offen für Experimente', 'neue Sachen ausprobieren']"
wehr,1.0,a,(e|st|t|en),sich einsetzen für | für etwas einstehen | verteidigen,sich einsetzen für | für etwas einstehen | verteidigen,hard-hearted,"['sich einsetzen für', 'für etwas einstehen', 'verteidigen']"
Wettbewerb,1.0,s,s?,Kompetenz einsetzen | im Team etwas verfolgen | erreichen,Kompetenz einsetzen | im Team etwas verfolgen | erreichen,competitive,"['Kompetenz einsetzen', 'im Team etwas verfolgen', 'erreichen']"
wetteifer,1.0,a,(e|st|t|en),Kompetenz einsetzen | um weiterzukommen; im Team etwas verfolgen | erreichen,Kompetenz einsetzen | um weiterzukommen; im Team etwas verfolgen | erreichen,competitive,"['Kompetenz einsetzen', 'um weiterzukommen; im Team etwas verfolgen', 'erreichen']"
zielorientiert,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,Meilensteine erreichen wollen | strebsam | fleissig | mit Team etwas verfolgen | erreichen | fokussiert,Meilensteine erreichen wollen | strebsam | fleissig | mit Team etwas verfolgen | erreichen | fokussiert,competitive,"['Meilensteine erreichen wollen', 'strebsam', 'fleissig', 'mit Team etwas verfolgen', 'erreichen', 'fokussiert']"
zielstrebig,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Meilensteine erreichen wollen | strebsam | fleissig | mit Team etwas verfolgen | erreichen | fokussiert,Meilensteine erreichen wollen | strebsam | fleissig | mit Team etwas verfolgen | erreichen | fokussiert,competitive,"['Meilensteine erreichen wollen', 'strebsam', 'fleissig', 'mit Team etwas verfolgen', 'erreichen', 'fokussiert']"
