Lemma,Is active,Wordtype,Forms,Alternatives,Alternatives input fields Company | Company Culture | Goodies,Subcategory: competitive | Hard-hearted | Rough | Corporate,Alternatives_split_role,Alternatives_split_company
entscheidungsfreudig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,flexibel | pragmatisch | unkompliziert | beweglich,flexibel | pragmatisch | unkompliziert | beweglich,rough,"['flexibel', 'pragmatisch', 'unkompliziert', 'beweglich']","['flexibel', 'pragmatisch', 'unkompliziert', 'beweglich']"
entschieden,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,klipp und klar | eindeutig in der Kommunikation | explizit | deutlich,klipp und klar | eindeutig in der Kommunikation | explizit | deutlich,rough,"['klipp und klar', 'eindeutig in der Kommunikation', 'explizit', 'deutlich']","['klipp und klar', 'eindeutig in der Kommunikation', 'explizit', 'deutlich']"
Entschiedenheit,1,s,,mit Deutlichkeit | mit Klarheit | mit Engagement,mit Deutlichkeit | mit Klarheit | mit Engagement,rough,"['mit Deutlichkeit', 'mit Klarheit', 'mit Engagement']","['mit Deutlichkeit', 'mit Klarheit', 'mit Engagement']"
entschlossen,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,konsequent | herzhaft | zupackend | pragmatisch,konsequent | herzhaft | zupackend | pragmatisch,rough,"['konsequent', 'herzhaft', 'zupackend', 'pragmatisch']","['konsequent', 'herzhaft', 'zupackend', 'pragmatisch']"
Entschlossenheit,1,s,,mit Herzhaftigkeit | mit Pragmatismus,mit Herzhaftigkeit | mit Pragmatismus,rough,"['mit Herzhaftigkeit', 'mit Pragmatismus']","['mit Herzhaftigkeit', 'mit Pragmatismus']"
entschlussfreudig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,flexibel | pragmatisch | unkompliziert | beweglich,flexibel | pragmatisch | unkompliziert | beweglich,rough,"['flexibel', 'pragmatisch', 'unkompliziert', 'beweglich']","['flexibel', 'pragmatisch', 'unkompliziert', 'beweglich']"
Entschlussfreudigkeit,1,s,,Flexibilität | Pragmatismus | Beweglichkeit,Flexibilität | Pragmatismus | Beweglichkeit,rough,"['Flexibilität', 'Pragmatismus', 'Beweglichkeit']","['Flexibilität', 'Pragmatismus', 'Beweglichkeit']"
Entschlusskraft,1,s,,Flexibilität | Pragmatismus | Beweglichkeit,Flexibilität | Pragmatismus | Beweglichkeit,rough,"['Flexibilität', 'Pragmatismus', 'Beweglichkeit']","['Flexibilität', 'Pragmatismus', 'Beweglichkeit']"
Erfolgshunger,1,s,s?,Meilensteine erreichen wollen | Vision realisieren,Meilensteine erreichen wollen | Vision realisieren,competitive,"['Meilensteine erreichen wollen', 'Vision realisieren']","['Meilensteine erreichen wollen', 'Vision realisieren']"
erfolgshungrig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Meilensteine erreichen wollen | Vision realisieren,Meilensteine erreichen wollen | Vision realisieren,competitive,"['Meilensteine erreichen wollen', 'Vision realisieren']","['Meilensteine erreichen wollen', 'Vision realisieren']"
erober,1,"v,s",(n|st|t|er|erinnen),entdecken | neugierig sein | mehr wissen | erfahren wollen,entdecken | neugierig sein | mehr wissen | erfahren wollen,competitive,"['entdecken', 'neugierig sein', 'mehr wissen', 'erfahren wollen']","['entdecken', 'neugierig sein', 'mehr wissen', 'erfahren wollen']"
Eroberung,1,s,(en)?,Entdeckung | Erwerb neuer Kenntnisse | inspiriert durch das Unbekannte,Entdeckung | Erwerb neuer Kenntnisse | inspiriert durch das Unbekannte,competitive,"['Entdeckung', 'Erwerb neuer Kenntnisse', 'inspiriert durch das Unbekannte']","['Entdeckung', 'Erwerb neuer Kenntnisse', 'inspiriert durch das Unbekannte']"
erprobt,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,kompetent | mit Know-how | mit Erfahrung,kompetent | mit Know-how | mit Erfahrung,corporate,"['kompetent', 'mit Know-how', 'mit Erfahrung']","['kompetent', 'mit Know-how', 'mit Erfahrung']"
erwarte,1,v,(n|st|t|nd),begrüßen | wünschen,begrüßen | wünschen,competitive,"['begrüßen', 'wünschen']","['begrüßen', 'wünschen']"
Extrameile,1,s,(en)?,engagiert,engagiert,competitive,['engagiert'],['engagiert']
Hunger,1,s,s?,Meilensteine erreichen wollen | Vision realisieren,Meilensteine erreichen wollen | Vision realisieren,competitive,"['Meilensteine erreichen wollen', 'Vision realisieren']","['Meilensteine erreichen wollen', 'Vision realisieren']"
hungrig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Meilensteine erreichen wollen | strebsam | fleißig,Meilensteine erreichen wollen | strebsam | fleißig,competitive,"['Meilensteine erreichen wollen', 'strebsam', 'fleißig']","['Meilensteine erreichen wollen', 'strebsam', 'fleißig']"
fachmännisch,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,mit Qualität | fachkundig | geübt | kenntnisreich | kompetent,mit Qualität | fachkundig | geübt | kenntnisreich | kompetent,corporate,"['mit Qualität', 'fachkundig', 'geübt', 'kenntnisreich', 'kompetent']","['mit Qualität', 'fachkundig', 'geübt', 'kenntnisreich', 'kompetent']"
feindselig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,competitive,[''],['']
Feindseligkeit,1,s,,,,competitive,[''],['']
freimütig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,zur eigenen Meinung stehen | seine Arbeit vertreten,zur eigenen Meinung stehen | seine Arbeit vertreten,rough,"['zur eigenen Meinung stehen', 'seine Arbeit vertreten']","['zur eigenen Meinung stehen', 'seine Arbeit vertreten']"
Freimütigkeit,1,s,(en)?,zur eigenen Meinung stehen | seine Arbeit vertreten,zur eigenen Meinung stehen | seine Arbeit vertreten,rough,"['zur eigenen Meinung stehen', 'seine Arbeit vertreten']","['zur eigenen Meinung stehen', 'seine Arbeit vertreten']"
führ,1,v,(e|st|t|en),unterstützen | coachen | Vision kommunizieren | mitnehmen | lenken,unterstützen | coachen | Vision kommunizieren | mitnehmen | lenken,hard-hearted,"['unterstützen', 'coachen', 'Vision kommunizieren', 'mitnehmen', 'lenken']","['unterstützen', 'coachen', 'Vision kommunizieren', 'mitnehmen', 'lenken']"
Führer,1,s,(in|n|innen|s)?,Leitung | Unterstützung | Coaching | Vision kommunizieren,Leitung | Unterstützung | Coaching | Vision kommunizieren,hard-hearted,"['Leitung', 'Unterstützung', 'Coaching', 'Vision kommunizieren']","['Leitung', 'Unterstützung', 'Coaching', 'Vision kommunizieren']"
Führerschaft,1,s,,Leitung | Unterstützung | Coaching | Vision kommunizieren,Leitung | Unterstützung | Coaching | Vision kommunizieren,hard-hearted,"['Leitung', 'Unterstützung', 'Coaching', 'Vision kommunizieren']","['Leitung', 'Unterstützung', 'Coaching', 'Vision kommunizieren']"
Führung,1,s,,Leitung | Unterstützung | Coaching | Vision kommunizieren,Leitung | Unterstützung | Coaching | Vision kommunizieren,hard-hearted,"['Leitung', 'Unterstützung', 'Coaching', 'Vision kommunizieren']","['Leitung', 'Unterstützung', 'Coaching', 'Vision kommunizieren']"
Führungskraft,1,s,,Leitung | Unterstützung | Coaching | Vision kommunizieren,Leitung | Unterstützung | Coaching | Vision kommunizieren,hard-hearted,"['Leitung', 'Unterstützung', 'Coaching', 'Vision kommunizieren']","['Leitung', 'Unterstützung', 'Coaching', 'Vision kommunizieren']"
furchtlos,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,,,hard-hearted,[''],['']
geldgierig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,hard-hearted,[''],['']
gewagt,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,sich erlaubt | offen für Experimente | neue Sachen ausprobieren,sich erlaubt | offen für Experimente | neue Sachen ausprobieren,hard-hearted,"['sich erlaubt', 'offen für Experimente', 'neue Sachen ausprobieren']","['sich erlaubt', 'offen für Experimente', 'neue Sachen ausprobieren']"
Gewalt,1,s,,,,hard-hearted,[''],['']
getrieben,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,competitive,[''],['']
gewinn,1,a,(e|st|t|en),erwerben | dazu lernen | insistieren | aus Erfahrung Neues schaffen | nicht locker lassen | sich nicht abbringen lassen,erwerben | dazu lernen | insistieren | aus Erfahrung Neues schaffen | nicht locker lassen | sich nicht abbringen lassen,competitive,"['erwerben', 'dazu lernen', 'insistieren', 'aus Erfahrung Neues schaffen', 'nicht locker lassen', 'sich nicht abbringen lassen']","['erwerben', 'dazu lernen', 'insistieren', 'aus Erfahrung Neues schaffen', 'nicht locker lassen', 'sich nicht abbringen lassen']"
Gewinner,1,s,(in|n|innen|s)?,nicht locker lassen | sich vom Ziel nicht abbringen lassen,nicht locker lassen | sich vom Ziel nicht abbringen lassen,competitive,"['nicht locker lassen', 'sich vom Ziel nicht abbringen lassen']","['nicht locker lassen', 'sich vom Ziel nicht abbringen lassen']"
gierig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,competitive,[''],['']
Grundsatz,1,s,es?,,,rough,[''],['']
Grundsätze,1,s,,,,rough,[''],['']
grundsätzlich,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,rough,[''],['']
hart,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Ziel verfolgen | sich vom Weg nicht abbringen | Weg vorleben,,,"['Ziel verfolgen', 'sich vom Weg nicht abbringen', 'Weg vorleben']",['']
Härt,1,"s,a",(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Ziel verfolgen | sich vom Weg nicht abbringen | Weg vorleben,,,"['Ziel verfolgen', 'sich vom Weg nicht abbringen', 'Weg vorleben']",['']
hartgesotten,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Ziel verfolgen | sich vom Weg nicht abbringen | Weg vorleben,,hard-hearted,"['Ziel verfolgen', 'sich vom Weg nicht abbringen', 'Weg vorleben']",['']
hartnäckig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,insistieren | Erfahrung vertreten | nicht locker lassen | sich nicht abbringen lassen,insistieren | Erfahrung vertreten | nicht locker lassen | sich nicht abbringen lassen,competitive,"['insistieren', 'Erfahrung vertreten', 'nicht locker lassen', 'sich nicht abbringen lassen']","['insistieren', 'Erfahrung vertreten', 'nicht locker lassen', 'sich nicht abbringen lassen']"
Hartnäckigkeit,1,s,,insistieren | Erfahrung vertreten | nicht locker lassen | sich nicht abbringen lassen,insistieren | Erfahrung vertreten | nicht locker lassen | sich nicht abbringen lassen,competitive,"['insistieren', 'Erfahrung vertreten', 'nicht locker lassen', 'sich nicht abbringen lassen']","['insistieren', 'Erfahrung vertreten', 'nicht locker lassen', 'sich nicht abbringen lassen']"
herausfordernd,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,competitive,[''],['']
Herausforderung,1,s,(en)?,neugierig | Spass an Neuem | offen für neue Entdeckungen,neugierig | Spass an Neuem | offen für neue Entdeckungen,competitive,"['neugierig', 'Spass an Neuem', 'offen für neue Entdeckungen']","['neugierig', 'Spass an Neuem', 'offen für neue Entdeckungen']"
herrschend,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,hard-hearted,[''],['']
Höchstleistung,1,s,(en)?,gemeinsam Ziele erarbeiten | durch gemeinsame Unterstützung produktiver werden,gemeinsam Ziele erarbeiten | durch gemeinsame Unterstützung produktiver werden,competitive,"['gemeinsam Ziele erarbeiten', 'durch gemeinsame Unterstützung produktiver werden']","['gemeinsam Ziele erarbeiten', 'durch gemeinsame Unterstützung produktiver werden']"
impulsiv,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,hard-hearted,[''],['']
individuell,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Kompetenz einsetzen | auf Aufgaben fokussieren | Verantwortung tragen,Kompetenz einsetzen | auf Aufgaben fokussieren | Verantwortung tragen,competitive,"['Kompetenz einsetzen', 'auf Aufgaben fokussieren', 'Verantwortung tragen']","['Kompetenz einsetzen', 'auf Aufgaben fokussieren', 'Verantwortung tragen']"
Intellekt,1,s,(s|es)?,,,corporate,[''],['']
intellektuell,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,corporate,[''],['']
jag,1,v,(e|st|t|en),verfolgen | strebsam | im Blick behalten | Überblick behalten | fokussiert | neugierig,verfolgen | strebsam | im Blick behalten | Überblick behalten | fokussiert | neugierig,competitive,"['verfolgen', 'strebsam', 'im Blick behalten', 'Überblick behalten', 'fokussiert', 'neugierig']","['verfolgen', 'strebsam', 'im Blick behalten', 'Überblick behalten', 'fokussiert', 'neugierig']"
Jagd,1,s,,,,competitive,[''],['']
Jäger,1,s,(in|n|innen|s)?,verfolgen | strebsam | im Blick behalten | Überblick behalten | fokussiert | neugierig,verfolgen | strebsam | im Blick behalten | Überblick behalten | fokussiert | neugierig,competitive,"['verfolgen', 'strebsam', 'im Blick behalten', 'Überblick behalten', 'fokussiert', 'neugierig']","['verfolgen', 'strebsam', 'im Blick behalten', 'Überblick behalten', 'fokussiert', 'neugierig']"
Kampf,1,s,(s|es)?,,,competitive,[''],['']
kämpf,1,v,(e|st|t|en),einstehen für | unterstützend agieren | mit Disziplin erarbeiten,einstehen für | unterstützend agieren | mit Disziplin erarbeiten,competitive,"['einstehen für', 'unterstützend agieren', 'mit Disziplin erarbeiten']","['einstehen für', 'unterstützend agieren', 'mit Disziplin erarbeiten']"
kämpfend,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,competitive,[''],['']
Kämpfer,1,s,(in|n|innen|s)?,mit Disziplin das Ziel erreichen | einstehen für | Strebsamkeit,mit Disziplin das Ziel erreichen | einstehen für | Strebsamkeit,competitive,"['mit Disziplin das Ziel erreichen', 'einstehen für', 'Strebsamkeit']","['mit Disziplin das Ziel erreichen', 'einstehen für', 'Strebsamkeit']"
kämpferisch,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Reibungen bewältigen können | argumentieren können,Reibungen bewältigen können | argumentieren können,competitive,"['Reibungen bewältigen können', 'argumentieren können']","['Reibungen bewältigen können', 'argumentieren können']"
kampflustig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,competitive,[''],['']
kompetitiv,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Kompetenz einsetzen | mit anderen etwas erreichen,Kompetenz einsetzen | mit anderen etwas erreichen,competitive,"['Kompetenz einsetzen', 'mit anderen etwas erreichen']","['Kompetenz einsetzen', 'mit anderen etwas erreichen']"
Konkurrenz,1,s,,Kompetenz einsetzen | im Team etwas verfolgen | erreichen,Kompetenz einsetzen | im Team etwas verfolgen | erreichen,competitive,"['Kompetenz einsetzen', 'im Team etwas verfolgen', 'erreichen']","['Kompetenz einsetzen', 'im Team etwas verfolgen', 'erreichen']"
konkurrenzbetont,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,,,competitive,[''],['']
Konkurrenzdruck,1,s,,fokussiert bleiben | Ruhe bewahren | langer Atem,,,"['fokussiert bleiben', 'Ruhe bewahren', 'langer Atem']",['']
konkurrenzfähig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,fokussiert bleiben | Ruhe bewahren | langer Atem,fokussiert bleiben | Ruhe bewahren | langer Atem,competitive,"['fokussiert bleiben', 'Ruhe bewahren', 'langer Atem']","['fokussiert bleiben', 'Ruhe bewahren', 'langer Atem']"
Kraft,1,s,,,,hard-hearted,[''],['']
kraftvoll,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,hard-hearted,[''],['']
leiste,1,v,(t|st|n|nd),Meilensteine erreichen wollen | enthusiastisch bei der Umsetzung,Meilensteine erreichen wollen | enthusiastisch bei der Umsetzung,competitive,"['Meilensteine erreichen wollen', 'enthusiastisch bei der Umsetzung']","['Meilensteine erreichen wollen', 'enthusiastisch bei der Umsetzung']"
Leistungsbereitschaft,1,s,,Meilensteine erreichen wollen | enthusiastisch bei der Umsetzung,Meilensteine erreichen wollen | enthusiastisch bei der Umsetzung,competitive,"['Meilensteine erreichen wollen', 'enthusiastisch bei der Umsetzung']","['Meilensteine erreichen wollen', 'enthusiastisch bei der Umsetzung']"
leistungsbereit,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,Meilensteine erreichen wollen | enthusiastisch bei der Umsetzung,Meilensteine erreichen wollen | enthusiastisch bei der Umsetzung,competitive,"['Meilensteine erreichen wollen', 'enthusiastisch bei der Umsetzung']","['Meilensteine erreichen wollen', 'enthusiastisch bei der Umsetzung']"
leistungsorientiert,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,fleißig | tüchtig | Meilensteine erreichen wollen | enthusiastisch bei der Umsetzung,fleißig | tüchtig | Meilensteine erreichen wollen | enthusiastisch bei der Umsetzung,competitive,"['fleißig', 'tüchtig', 'Meilensteine erreichen wollen', 'enthusiastisch bei der Umsetzung']","['fleißig', 'tüchtig', 'Meilensteine erreichen wollen', 'enthusiastisch bei der Umsetzung']"
leistungsabhängig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,das Engagement beeinflusst das Gehalt,,competitive,['das Engagement beeinflusst das Gehalt'],['']
Leistungsträger,1,s,(in|n|innen|s)?,Gestalter | Schlüsselfigur/person | Schnittstelle,Gestalter | Schlüsselfigur/person | Schnittstelle,competitive,"['Gestalter', 'Schlüsselfigur/person', 'Schnittstelle']","['Gestalter', 'Schlüsselfigur/person', 'Schnittstelle']"
Leistungsausweis,1,s,(e)?,Erfahrung mitbringen,,competitive,['Erfahrung mitbringen'],['']
leit,1,v,(et|est|en|end),unterstützen | coachen | Vision kommunizieren | mitnehmen | lenken,unterstützen | coachen | Vision kommunizieren | mitnehmen | lenken,hard-hearted,"['unterstützen', 'coachen', 'Vision kommunizieren', 'mitnehmen', 'lenken']","['unterstützen', 'coachen', 'Vision kommunizieren', 'mitnehmen', 'lenken']"
Logik,1,s,,schlüssig | gemäss Prozess | gemäss Schema | ableitend,schlüssig | gemäss Prozess | gemäss Schema | ableitend,corporate,"['schlüssig', 'gemäss Prozess', 'gemäss Schema', 'ableitend']","['schlüssig', 'gemäss Prozess', 'gemäss Schema', 'ableitend']"
logisch,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,konsequent | schlüssig | nachvollziehbar | schematisch,konsequent | schlüssig | nachvollziehbar | schematisch,corporate,"['konsequent', 'schlüssig', 'nachvollziehbar', 'schematisch']","['konsequent', 'schlüssig', 'nachvollziehbar', 'schematisch']"
Macht,1,s,,,,competitive,[''],['']
machthungrig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,competitive,[''],['']
Meister,1,s,(in|n|innen|s)?,fachkundig | kompetent | Fachgrösse,fachkundig | kompetent | Fachgrösse,competitive,"['fachkundig', 'kompetent', 'Fachgrösse']","['fachkundig', 'kompetent', 'Fachgrösse']"
meisterhaft,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,fachkundig | kompetent | mit Erfahrung,fachkundig | kompetent | mit Erfahrung,competitive,"['fachkundig', 'kompetent', 'mit Erfahrung']","['fachkundig', 'kompetent', 'mit Erfahrung']"
militant,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,,,competitive,[''],['']
Mittler,1,s,,Person | die vermittelt,,,"['Person', 'die vermittelt']",['']
mutig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Spass an Neuem | offen für neue Entdeckungen | ausprobieren wollen | experimentierfreudig,Spass an Neuem | offen für neue Entdeckungen | ausprobieren wollen | experimentierfreudig,rough,"['Spass an Neuem', 'offen für neue Entdeckungen', 'ausprobieren wollen', 'experimentierfreudig']","['Spass an Neuem', 'offen für neue Entdeckungen', 'ausprobieren wollen', 'experimentierfreudig']"
Mut,1,s,(s|es)?,Spass an Neuem | offen für neue Entdeckungen | ausprobieren wollen | experimentierfreudig,Spass an Neuem | offen für neue Entdeckungen | ausprobieren wollen | experimentierfreudig,rough,"['Spass an Neuem', 'offen für neue Entdeckungen', 'ausprobieren wollen', 'experimentierfreudig']","['Spass an Neuem', 'offen für neue Entdeckungen', 'ausprobieren wollen', 'experimentierfreudig']"
Mutprobe,1,s,n?,-,,rough,['-'],['']
offensiv,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,rough,[''],['']
paranoid,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,hard-hearted,[''],['']
performant,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,fleißig | tüchtig | Meilensteine erreichen wollen | enthusiastisch bei der Umsetzung,fleißig | tüchtig | Meilensteine erreichen wollen | enthusiastisch bei der Umsetzung,competitive,"['fleißig', 'tüchtig', 'Meilensteine erreichen wollen', 'enthusiastisch bei der Umsetzung']","['fleißig', 'tüchtig', 'Meilensteine erreichen wollen', 'enthusiastisch bei der Umsetzung']"
Performer,1,s,(n|s)?,auf die nächsten Schritte fokussieren | engagiert in seinen Aufgaben | unternehmerisch denken | sein,auf die nächsten Schritte fokussieren | engagiert in seinen Aufgaben | unternehmerisch denken | sein,competitive,"['auf die nächsten Schritte fokussieren', 'engagiert in seinen Aufgaben', 'unternehmerisch denken', 'sein']","['auf die nächsten Schritte fokussieren', 'engagiert in seinen Aufgaben', 'unternehmerisch denken', 'sein']"
Pionier,1,s,(in|e|innen)?,Verantwortung übernehmen | mit gutem Beispiel voraus | erfinderisch sein | innovativ wirken | inspirieren | die Vision vermitteln,Verantwortung übernehmen | mit gutem Beispiel voraus | erfinderisch sein | innovativ wirken | inspirieren | die Vision vermitteln,competitive,"['Verantwortung übernehmen', 'mit gutem Beispiel voraus', 'erfinderisch sein', 'innovativ wirken', 'inspirieren', 'die Vision vermitteln']","['Verantwortung übernehmen', 'mit gutem Beispiel voraus', 'erfinderisch sein', 'innovativ wirken', 'inspirieren', 'die Vision vermitteln']"
prahl,1,v,(e|st|t|en),,,hard-hearted,[''],['']
Prinzip,1,s,(s|ien)?,Ethik | mit Methode | mit Grundsätzen | Richtlinie,Ethik | mit Methode | mit Grundsätzen | Richtlinie,rough,"['Ethik', 'mit Methode', 'mit Grundsätzen', 'Richtlinie']","['Ethik', 'mit Methode', 'mit Grundsätzen', 'Richtlinie']"
proaktiv,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Initiative ergreifen | mit Energie unternehmen | unternehmerisch,Initiative ergreifen | mit Energie unternehmen | unternehmerisch,rough,"['Initiative ergreifen', 'mit Energie unternehmen', 'unternehmerisch']","['Initiative ergreifen', 'mit Energie unternehmen', 'unternehmerisch']"
pro-aktiv,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Initiative ergreifen | mit Energie unternehmen | unternehmerisch,Initiative ergreifen | mit Energie unternehmen | unternehmerisch,rough,"['Initiative ergreifen', 'mit Energie unternehmen', 'unternehmerisch']","['Initiative ergreifen', 'mit Energie unternehmen', 'unternehmerisch']"
Problem,1,s,(e|en)?,,,competitive,[''],['']
problematisch,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,competitive,[''],['']
resolut,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,tatkräftig | unbeirrt | zupackend,tatkräftig | unbeirrt | zupackend,hard-hearted,"['tatkräftig', 'unbeirrt', 'zupackend']","['tatkräftig', 'unbeirrt', 'zupackend']"
resultatorientiert,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,Meilensteine erreichen wollen | strebsam | fleißig | mit Team etwas verfolgen | erreichen | fokussiert,Meilensteine erreichen wollen | strebsam | fleißig | mit Team etwas verfolgen | erreichen | fokussiert,competitive,"['Meilensteine erreichen wollen', 'strebsam', 'fleißig', 'mit Team etwas verfolgen', 'erreichen', 'fokussiert']","['Meilensteine erreichen wollen', 'strebsam', 'fleißig', 'mit Team etwas verfolgen', 'erreichen', 'fokussiert']"
risikofreudig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Spass an Neuem | offen für neue Entdeckungen | ausprobieren wollen | experimentierfreudig,Spass an Neuem | offen für neue Entdeckungen | ausprobieren wollen | experimentierfreudig,rough,"['Spass an Neuem', 'offen für neue Entdeckungen', 'ausprobieren wollen', 'experimentierfreudig']","['Spass an Neuem', 'offen für neue Entdeckungen', 'ausprobieren wollen', 'experimentierfreudig']"
Risikoträger,1,s,(in|n|innen|s)?,Optionen abwägend | offen für Neues | ausprobieren wollen | Experimente durchführen,offen für Neues | ausprobieren wollen | Experimente durchführen,rough,"['Optionen abwägend', 'offen für Neues', 'ausprobieren wollen', 'Experimente durchführen']","['offen für Neues', 'ausprobieren wollen', 'Experimente durchführen']"
Risik,1,s,(|o|os|en)?,verantwortungsbewusst | abwägend | offen für Neues | ausprobieren wollen,verantwortungsbewusst | abwägend | offen für Neues | ausprobieren wollen,rough,"['verantwortungsbewusst', 'abwägend', 'offen für Neues', 'ausprobieren wollen']","['verantwortungsbewusst', 'abwägend', 'offen für Neues', 'ausprobieren wollen']"
